Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
MUFFINS,ARNOLD-BRWNBRY-OROWT,,,19,-51.28,31.58,6,2,10,0,10,8,8,4,8,13,8,30,41
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,,19,-51.28,31.58,6,2,10,0,10,8,8,4,8,13,8,30,41
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,OR EM 100%WW 6P12.5Z,4,-33.33,50.00,2,0,2,0,2,0,2,2,0,3,0,4,7
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,OR EM EX CRISP6P12.5,4,-73.33,25.00,1,0,2,0,2,3,2,2,0,3,3,7,10
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,ORO DBL FIB EM6,4,0.00,0.00,0,0,2,0,2,2,0,0,2,2,2,6,6
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,RAISIN MUFF 6P,4,-33.33,25.00,1,2,2,0,2,0,2,0,3,2,0,6,7
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,SD ENG MUFF 6P12.48,3,-62.50,66.67,2,0,2,0,2,3,2,0,3,3,3,7,11
MUFFINS,THOMAS BRANDS,,,86,-21.10,26.74,23,2,37,2,64,19,30,19,19,40,19,124,127
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,,22,100.00,4.55,1,2,8,2,14,2,5,4,2,5,2,28,18
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,EM APPLE PIE 6P 13Z,6,-14.29,0.00,0,2,2,0,6,0,2,2,0,0,0,10,4
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,EM CINN RSN 6P 13Z,16,300.00,6.25,1,0,6,2,8,2,3,2,2,5,2,18,14
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,,17,-37.04,111.76,19,0,9,0,20,6,9,5,6,11,6,35,37
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM DBL PROTN OAT6P13,4,100.00,125.00,5,0,2,0,6,3,2,0,2,0,3,11,7
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM HIGHFIB PLN 6P12Z,7,100.00,28.57,2,0,2,0,4,0,2,0,2,2,0,6,6
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM LT MLT GRN 6P12Z,5,-75.00,80.00,4,0,3,0,6,3,3,3,2,6,3,12,17
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM WH WHEAT 6P 12Z,1,-85.71,800.00,8,0,2,0,4,0,2,2,0,3,0,6,7
MUFFINS,THOMAS BRANDS,REG-WHITE MUFFINS,,47,-33.80,6.38,3,0,20,0,30,11,16,10,11,24,11,61,72
MUFFINS,THOMAS BRANDS,REG-WHITE MUFFINS,EM REGULAR 6P/12Z,47,-33.80,6.38,3,0,20,0,30,11,16,10,11,24,11,61,72
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SAND THINS-FLAT ROLL,,,,71,-30.39,18.31,13,0,12,0,24,36,0,12,0,24,36,72,72
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,,,71,-30.39,18.31,13,0,12,0,24,36,0,12,0,24,36,72,72
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,,71,-30.39,18.31,13,0,12,0,24,36,0,12,0,24,36,72,72
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR HW SAND THIN 8P12,13,-53.57,84.62,11,0,0,0,12,12,0,0,0,12,12,24,24
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR SAND THIN MG 8P12,22,-26.67,9.09,2,0,0,0,0,12,0,0,0,0,12,12,12
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR SAND THIN WW 8P12,36,-18.18,0.00,0,0,12,0,12,12,0,12,0,12,12,36,36
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,,,,167,-16.50,7.78,13,13,47,3,60,103,13,11,3,37,103,226,167
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,,,9,-25.00,0.00,0,2,0,3,2,0,2,0,3,2,0,7,7
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,,9,-25.00,0.00,0,2,0,3,2,0,2,0,3,2,0,7,7
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,OR HLTHY MG PKT 8P11,9,-25.00,0.00,0,2,0,3,2,0,2,0,3,2,0,7,7
SANDWICH ALTERNATIVE,BOBOLI BRANDS,,,0,-100.00,0.00,0,0,0,0,0,24,0,0,0,0,24,24,24
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,,0,-100.00,0.00,0,0,0,0,0,24,0,0,0,0,24,24,24
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,BOB 12 OG TNCST 10Z,0,-100.00,0.00,0,0,0,0,0,14,0,0,0,0,14,14,14
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB 12"" OG CST 14Z",0,-100.00,0.00,0,0,0,0,0,10,0,0,0,0,10,10,10
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB 8"" OG CST 2P10Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB TN 12"" WWCST 10Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,TIA ROSA,,,158,-9.20,8.23,13,11,47,0,58,79,11,11,0,35,79,195,136
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,,24,9.09,0.00,0,0,12,0,12,24,0,0,0,0,24,48,24
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,TR WHITE CORN TORT30,12,100.00,0.00,0,0,0,0,0,12,0,0,0,0,12,12,12
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,TR YELLOW CORN TORT,12,-25.00,0.00,0,0,12,0,12,12,0,0,0,0,12,36,12
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,,134,-11.84,9.70,13,11,35,0,46,55,11,11,0,35,55,147,112
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,"TR 6.5""HS TORT 20P28",55,0.00,0.00,0,11,11,0,22,11,11,11,0,11,11,55,44
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR BURRITO TORT 8P20,7,-30.00,42.86,3,0,0,0,0,10,0,0,0,0,10,10,10
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR HOMSTY TORT 10P14,72,56.52,0.00,0,0,24,0,24,24,0,0,0,24,24,72,48
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR SFT TACO TORT10P,0,-100.00,0.00,10,0,0,0,0,10,0,0,0,0,10,10,10
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR WICWW TORT 10P16Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,,,,"5,365",-9.28,4.04,217,1180,800,728,1770,917,1071,694,674,1641,917,5395,4997
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,,,194,-14.91,27.84,54,38,30,10,65,143,28,20,10,63,143,286,264
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,,-2,-106.45,-600.00,12,0,0,0,0,30,0,0,0,0,30,30,30
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY MLTIGRN 24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY OATMEAL 24Z,0,-100.00,0.00,0,0,0,0,0,10,0,0,0,0,10,10,10
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY WHEAT WP24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY WHITE 24Z,-12,-400.00,-100.00,12,0,0,0,0,10,0,0,0,0,10,10,10
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTY POTATO 24Z,10,-9.09,0.00,0,0,0,0,0,10,0,0,0,0,10,10,10
