Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL SOFT & SMOOTH BRD,,83,-56.79,2.72,2,16,8,16,24,16,16,8,16,24,16,80,80,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL SOFT & SMOOTH BRD,SL S&S 100%WW RT 20Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL SOFT & SMOOTH BRD,SL S&S WGW RT BRD20Z,83,-48.68,2.72,2,16,8,16,24,16,16,8,16,24,16,80,80,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SNACK,,,,7,100.00,0.00,0,0,9,0,18,9,0,0,0,9,9,36,18,,,,,,,,,,,
SNACK,TIA ROSA,,,7,100.00,0.00,0,0,9,0,18,9,0,0,0,9,9,36,18,,,,,,,,,,,
SNACK,TIA ROSA,TR CHIPS,,7,100.00,0.00,0,0,9,0,18,9,0,0,0,9,9,36,18,,,,,,,,,,,
SNACK,TIA ROSA,TR CHIPS,TR MEGATHIN CHIP,7,100.00,0.00,0,0,9,0,18,9,0,0,0,9,9,36,18,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,,,,885,-0.55,4.52,40,54,74,339,132,210,207,140,289,164,210,809,1010,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,,,264,16.71,8.82,23,0,0,159,0,70,61,44,127,0,70,229,302,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-BX-BARS,,33,209.52,3.08,1,0,0,0,0,14,4,9,10,0,14,14,37,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-BX-BARS,BIM MGRNBAR MIX BX6P,24,130.95,3.09,1,0,0,0,0,3,4,9,10,0,3,3,26,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-BX-BARS,BIM STWYBRAN FT BX6P,8,100.00,3.03,0,0,0,0,0,11,0,0,0,0,11,11,11,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-LOAF CAKES,,20,-58.06,48.72,10,0,0,21,0,12,7,4,13,0,12,33,36,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-LOAF CAKES,BIM PANQUE BN FS1PBX,4,100.00,5.88,0,0,0,0,0,4,0,0,0,0,4,4,4,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-LOAF CAKES,BIM PANQUE HMD FS1P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-LOAF CAKES,BIM PANQUE PEC FS1P,15,-39.00,60.66,9,0,0,21,0,4,7,4,13,0,4,25,28,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-LOAF CAKES,BIM PANQUE RSN FS1P,0,-100.00,0.00,0,0,0,0,0,4,0,0,0,0,4,4,4,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-SWEET ROLLS,,15,-46.43,46.67,7,0,0,19,0,3,6,3,11,0,3,22,23,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-FS-SWEET ROLLS,BIM ROLES CIN FS6P,15,-46.43,46.67,7,0,0,19,0,3,6,3,11,0,3,22,23,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-DONUTS,,22,309.52,16.28,4,0,0,10,0,3,5,2,10,0,3,13,20,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-DONUTS,BIM DONAS SGR MF12P,22,309.52,16.28,4,0,0,10,0,3,5,2,10,0,3,13,20,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-MUFFINS,,65,54.94,0.00,0,0,0,35,0,10,15,11,32,0,10,45,68,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-MUFFINS,BIM MINIMCDA MF8P,47,29.63,0.00,0,0,0,27,0,8,11,9,25,0,8,35,53,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-MUFFINS,BIM MNTECADA MF6P,18,213.04,0.00,0,0,0,8,0,2,4,2,7,0,2,10,15,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-TRADITIONAL,,111,17.67,2.03,2,0,0,75,0,28,24,15,51,0,28,103,118,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-TRADITIONAL,BIM BIMBOLETE MF4P,57,62.14,2.20,1,0,0,40,0,8,13,8,27,0,8,48,56,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-TRADITIONAL,BIM BUNUELO MF12P,4,0.00,0.00,0,0,0,8,0,4,3,0,5,0,4,12,12,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-TRADITIONAL,BIM CNCHITA VAN MF6P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-TRADITIONAL,BIM CONCHAS VAN MP8P,46,81.58,2.17,1,0,0,27,0,5,8,7,19,0,5,32,39,,,,,,,,,,,
SWEET BAKED GOODS,BIMBO SBG,BM-MP-TRADITIONAL,BIM REBANADAS MF6PBX,4,-82.29,0.00,0,0,0,0,0,11,0,0,0,0,11,11,11,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,,,81,4.21,0.62,1,0,0,0,36,38,18,18,0,36,38,74,110,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,,81,4.21,0.62,1,0,0,0,36,38,18,18,0,36,38,74,110,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,CP LB CHOCCP MFN10CT,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SWEET BAKED GOODS,ENTENMANNS BRANDS,EN LITTLE BITES,LB BLBRY MFN,22,-17.59,1.12,0,0,0,0,18,18,0,0,0,18,18,36,36,,,,,,,,,,,
