Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),,"2,333",-5.57,1.91,45,402,263,246,733,297,396,257,246,611,297,1941,1807
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV BRWN&SRV RL12P12Z,51,-19.10,2.61,1,0,10,0,15,15,0,10,0,15,15,40,40
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HAM RL 16P 22Z,19,-8.94,3.57,1,8,0,0,8,8,8,0,0,0,8,24,16
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HAMBURG 8P11Z,568,-10.92,2.45,14,112,64,72,160,72,112,64,72,160,72,480,480
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HOT DOG 8P11Z,"1,360",-2.98,1.68,23,234,144,144,450,153,234,144,144,351,153,1125,1026
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HOT RL 16P 22Z,24,-7.69,0.69,0,0,0,0,10,10,0,0,0,10,10,20,20
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV JUMBO HAM BUN 8P,261,0.42,0.73,2,48,30,30,60,24,42,24,30,60,24,192,180
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV WW HAM 8P14Z,21,-33.16,5.08,1,0,6,0,12,6,0,6,0,6,6,24,18
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV WW HOT 8P14Z,29,-2.55,9.30,3,0,9,0,18,9,0,9,0,9,9,36,27
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),,366,6.92,1.39,5,78,61,52,122,44,78,35,52,96,44,357,305
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),WM VALUE HAMBURG8P11,106,15.29,2.92,3,24,16,16,32,8,24,8,16,24,8,96,80
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),WM VALUE HOTDOG 8P11,260,3.86,0.77,2,54,45,36,90,36,54,27,36,72,36,261,225
BUNS-ROLLS,SARA LEE,,,56,-45.77,17.98,10,4,35,0,12,18,4,23,3,11,18,69,59
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,,33,-11.58,18.39,6,0,25,0,0,10,0,15,0,0,10,35,25
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,SL HAWAIIAN RL12P15Z,25,-10.15,21.26,5,0,15,0,0,5,0,15,0,0,5,20,20
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,SL WHI DNRL 12P 17Z,8,-15.79,9.38,1,0,10,0,0,5,0,0,0,0,5,15,5
BUNS-ROLLS,SARA LEE,SL H&D ROLLS,,9,-41.44,31.13,3,4,4,0,6,2,4,2,3,5,2,16,16
BUNS-ROLLS,SARA LEE,SL H&D ROLLS,SL H&D STK RL 6P15Z,9,-41.44,31.13,3,4,4,0,6,2,4,2,3,5,2,16,16
BUNS-ROLLS,SARA LEE,SL OTHER BUNS & RLS,,14,-18.66,8.82,1,0,6,0,6,6,0,6,0,6,6,18,18
BUNS-ROLLS,SARA LEE,SL OTHER BUNS & RLS,SL HAWAIN SDRL 8P18Z,14,-18.66,8.82,1,0,6,0,6,6,0,6,0,6,6,18,18
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,SL HHWHE HOT 8P 12Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,"SL WGW 6""CONEY 8P13Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
DRY,,,,55,97.29,6.87,4,0,0,0,0,56,0,0,0,0,56,56,56
DRY,BIMBO BREAD,,,55,97.29,6.87,4,0,0,0,0,56,0,0,0,0,56,56,56
DRY,BIMBO BREAD,BIMBO TOASTED BRD,,55,97.29,6.87,4,0,0,0,0,56,0,0,0,0,56,56,56
DRY,BIMBO BREAD,BIMBO TOASTED BRD,BIM DBFIBTST BX,27,133.81,3.38,1,0,0,0,0,28,0,0,0,0,28,28,28
DRY,BIMBO BREAD,BIMBO TOASTED BRD,PAN TOSTADO BX,28,70.98,10.30,3,0,0,0,0,28,0,0,0,0,28,28,28
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MUFFINS,,,,160,3.85,10.23,16,4,47,2,74,27,38,23,27,53,27,154,168
MUFFINS,ARNOLD-BRWNBRY-OROWT,,,38,18.39,7.00,3,2,10,0,10,8,8,4,8,13,8,30,41
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,,38,18.39,7.00,3,2,10,0,10,8,8,4,8,13,8,30,41
